834 2630
455 648 881
625 387 462
424 523 379
245 576 109
388 181 167
795 335 201
456 22 506
647 270 511
664 309 656
398 416 836
704 678 927
541 557 520
112 91 533
271 502 732
310 513 534
199 271 485
575 713 464
44 357 687
220 637 868
68 449 763
224 154 799
418 574 376
33 808 116
260 399 66
544 59 523
469 820 386
112 172 617
705 351 862
129 491 428
246 145 28
200 767 474
535 176 421
758 49 438
418 157 561
688 297 120
465 148 537
351 160 591
7 238 768
670 430 946
641 209 316
592 121 947
793 724 464
598 69 356
209 178 312
65 772 689
85 756 767
251 120 651
330 64 327
792 340 661
210 644 932
317 560 366
149 384 824
334 817 177
701 166 370
198 365 56
199 765 114
741 775 385
406 395 915
432 443 218
656 398 95
567 214 10
745 50 132
671 567 731
477 638 430
151 747 19
26 136 768
481 539 468
73 697 583
579 777 938
631 664 174
286 30 268
834 802 305
180 313 23
432 588 225
451 819 388
33 273 165
180 507 77
456 624 373
520 401 440
740 763 968
70 658 247
59 821 791
371 818 50
552 690 157
361 733 702
679 193 738
54 648 654
330 723 752
256 70 394
627 442 702
72 166 782
477 532 762
175 592 75
175 233 549
680 307 841
311 445 86
456 658 575
553 806 942
404 778 315
5 368 395
334 326 440
603 51 459
491 133 405
472 445 772
187 760 723
45 280 609
794 161 362
740 666 667
547 672 84
387 515 586
75 44 67
671 451 315
504 495 792
224 174 803
809 176 699
623 127 34
563 339 56
550 190 995
809 747 800
321 38 514
379 450 521
776 267 284
400 15 386
485 597 870
53 116 313
314 588 68
807 735 901
829 632 493
641 428 591
486 83 328
165 423 298
359 397 883
395 568 545
350 516 493
548 279 648
350 540 189
230 668 834
606 490 224
467 386 554
769 21 400
337 733 638
562 526 477
303 800 481
245 722 647
762 565 24
244 455 201
630 441 322
471 660 244
442 439 527
222 407 649
508 592 894
602 709 619
38 584 699
484 395 799
824 564 519
46 755 129
289 519 742
589 174 679
239 809 439
174 79 38
791 521 996
397 462 243
519 699 191
133 317 760
42 798 399
691 710 537
690 381 240
162 672 552
797 345 338
365 66 240
7 346 92
129 244 950
444 139 637
777 501 766
616 547 32
65 105 203
260 67 568
270 731 964
813 564 313
606 30 417
497 662 173
78 62 931
556 135 572
457 593 469
832 395 123
74 763 402
783 136 409
769 95 300
353 28 964
36 680 347
802 5 1
206 369 144
179 529 54
634 144 210
211 303 677
130 618 824
62 463 466
419 785 90
696 266 544
782 100 79
804 265 154
449 216 125
207 487 476
572 3 442
633 229 361
747 114 565
4 667 714
325 241 834
489 380 14
536 724 179
507 367 445
35 138 391
85 612 886
660 705 454
58 813 9
784 525 673
214 415 444
259 388 761
687 334 511
582 62 783
727 662 422
313 444 205
639 105 662
435 279 973
685 4 764
557 309 642
733 811 121
612 543 333
215 609 154
458 274 697
227 671 357
590 564 24
98 614 540
256 611 515
703 190 554
345 644 122
91 608 898
51 138 683
116 217 68
193 284 354
485 551 182
831 128 641
752 751 826
545 521 265
34 536 956
773 355 892
775 193 486
691 414 704
268 164 227
511 424 422
696 346 399
776 444 572
114 747 90
598 796 915
559 61 650
810 37 555
137 722 647
227 92 409
296 165 472
237 506 190
388 57 979
682 753 691
719 77 686
109 374 162
117 403 899
494 284 648
766 550 795
731 365 796
737 151 13
796 572 423
87 239 968
299 749 121
244 80 846
290 828 730
43 4 539
260 459 68
398 3 584
277 450 210
330 483 207
653 780 723
269 722 48
98 472 691
202 294 201
166 679 329
700 534 917
583 267 548
651 194 896
772 218 314
424 185 678
777 510 248
600 202 843
56 422 309
27 544 470
705 685 432
477 561 49
735 326 817
292 95 507
758 249 927
570 248 680
